Date,Open,High,Low,Close,Volume
9/13/2018,55.880001,57.087502,55.642502,56.602501,166825600
9/14/2018,56.4375,56.709999,55.630001,55.959999,127997200
9/17/2018,55.537498,55.737499,54.317501,54.470001,148780400
9/18/2018,54.447498,55.462502,54.279999,54.560001,126286800
9/19/2018,54.625,54.904999,53.825001,54.592499,108495200
9/20/2018,55.060001,55.57,54.787498,55.0075,106435200
9/21/2018,55.195,55.34,54.322498,54.415001,384986800
9/24/2018,54.205002,55.314999,54.157501,55.197498,110773600
9/25/2018,54.9375,55.705002,54.924999,55.547501,98217600
9/26/2018,55.25,55.9375,54.939999,55.105,95938800
9/27/2018,55.955002,56.610001,55.884998,56.237499,120724800
9/28/2018,56.197498,56.459999,56.005001,56.435001,91717600
10/1/2018,56.987499,57.355,56.587502,56.814999,94403200
10/2/2018,56.8125,57.5,56.657501,57.32,99152800
10/3/2018,57.512501,58.3675,57.445,58.017502,114619200
10/4/2018,57.695,58.087502,56.682499,56.997501,128168000
10/5/2018,56.990002,57.102501,55.145,56.072498,134322000
10/8/2018,55.552502,56.200001,55.049999,55.942501,118655600
10/9/2018,55.91,56.817501,55.5625,56.717499,107564000
10/10/2018,56.365002,56.587502,54.012501,54.09,167962400
10/11/2018,53.630001,54.875,53.080002,53.612499,212497600
10/12/2018,55.105,55.720001,54.209999,55.5275,161351600
10/15/2018,55.290001,55.4575,54.317501,54.34,123164000
10/16/2018,54.732498,55.747501,54.189999,55.537498,116736000
10/17/2018,55.575001,55.66,54.834999,55.297501,91541600
10/18/2018,54.465,54.935001,53.25,54.005001,130325200
10/19/2018,54.514999,55.314999,54.357498,54.827499,132314800
10/22/2018,54.947498,55.84,54.735001,55.162498,115168400
10/23/2018,53.9575,55.8125,53.674999,55.682499,155071200
10/24/2018,55.650002,56.057499,53.634998,53.772499,163702000
10/25/2018,54.427502,55.345001,54.1875,54.950001,119423200
10/26/2018,53.974998,55.047501,53.1675,54.075001,189033600
10/29/2018,54.797501,54.922501,51.522499,53.060001,183742000
10/30/2018,52.787498,53.794998,52.317501,53.325001,146640000
10/31/2018,54.220001,55.112499,54.154999,54.715,153435600
11/1/2018,54.762501,55.59,54.202499,55.555,233292800
11/2/2018,52.387501,53.412498,51.357498,51.869999,365314800
11/5/2018,51.075001,51.0975,49.5425,50.397499,264654800
11/6/2018,50.48,51.18,50.422501,50.942501,127531600
11/7/2018,51.4925,52.514999,51.032501,52.487499,133697600
11/8/2018,52.494999,52.529999,51.6875,52.122501,101450400
11/9/2018,51.387501,51.502499,50.5625,51.1175,137463200
11/12/2018,49.75,49.962502,48.447498,48.5425,204542000
11/13/2018,47.907501,49.294998,47.862499,48.057499,187531600
11/14/2018,48.474998,48.619999,46.482498,46.700001,243204000
11/15/2018,47.0975,47.9925,46.724998,47.852501,185915200
11/16/2018,47.625,48.7425,47.365002,48.3825,147713200
11/19/2018,47.5,47.674999,46.247501,46.465,167701200
11/20/2018,44.592499,45.3675,43.877499,44.244999,271300800
11/21/2018,44.932499,45.067501,44.137501,44.195,124496800
11/23/2018,43.735001,44.150002,43.025002,43.072498,94496000
11/26/2018,43.560001,43.737499,42.564999,43.654999,179994000
11/27/2018,42.877499,43.692501,42.720001,43.560001,165549600
11/28/2018,44.182499,45.322498,43.732498,45.235001,184250000
11/29/2018,45.665001,45.700001,44.424999,44.887501,167080000
11/30/2018,45.072498,45.0825,44.2575,44.645,158126000
12/3/2018,46.115002,46.235001,45.302502,46.205002,163210000
12/4/2018,45.237499,45.5975,44.067501,44.172501,165377200
12/6/2018,42.939999,43.695,42.605,43.68,172393600
12/7/2018,43.372501,43.622501,42.075001,42.122501,169126400
12/10/2018,41.25,42.522499,40.8325,42.400002,248104000
12/11/2018,42.915001,42.947498,41.75,42.157501,189126800
12/12/2018,42.599998,42.98,42.255001,42.275002,142510800
12/13/2018,42.622501,43.142502,42.387501,42.737499,127594400
12/14/2018,42.25,42.27,41.32,41.369999,162814800
12/17/2018,41.362499,42.087502,40.682499,40.985001,177151600
12/18/2018,41.345001,41.8825,41.0975,41.517502,135366000
12/19/2018,41.5,41.862499,39.772499,40.2225,196189200
12/20/2018,40.099998,40.5275,38.825001,39.2075,259092000
12/21/2018,39.215,39.540001,37.407501,37.682499,382978400
12/24/2018,37.037498,37.887501,36.647499,36.7075,148676800
12/26/2018,37.075001,39.307499,36.68,39.2925,234330000
12/27/2018,38.959999,39.192501,37.517502,39.037498,212468400
12/28/2018,39.375,39.630001,38.637501,39.057499,169165600
12/31/2018,39.6325,39.84,39.119999,39.435001,140014000
1/2/2019,38.7225,39.712502,38.557499,39.48,148158800
1/3/2019,35.994999,36.43,35.5,35.547501,365248800
1/4/2019,36.1325,37.137501,35.950001,37.064999,234428400
1/7/2019,37.174999,37.2075,36.474998,36.982498,219111200
1/8/2019,37.389999,37.955002,37.130001,37.6875,164101200
1/9/2019,37.822498,38.6325,37.407501,38.327499,180396400
1/10/2019,38.125,38.4925,37.715,38.450001,143122800
1/11/2019,38.220001,38.424999,37.877499,38.072498,108092800
1/14/2019,37.712502,37.817501,37.305,37.5,129756800
1/15/2019,37.567501,38.3475,37.512501,38.267502,114843600
1/16/2019,38.27,38.970001,38.25,38.735001,122278800
1/17/2019,38.549999,39.415001,38.314999,38.965,119284800
1/18/2019,39.375,39.470001,38.994999,39.205002,135004000
1/22/2019,39.102501,39.182499,38.154999,38.325001,121576000
1/23/2019,38.537498,38.785,37.924999,38.48,92522400
1/24/2019,38.5275,38.619999,37.935001,38.174999,101766000
1/25/2019,38.869999,39.532501,38.580002,39.439999,134142000
1/28/2019,38.947498,39.0825,38.415001,39.075001,104768400
1/29/2019,39.0625,39.532501,38.5275,38.669998,166348800
1/30/2019,40.8125,41.537498,40.057499,41.3125,244439200
1/31/2019,41.5275,42.25,41.139999,41.610001,162958400
2/1/2019,41.740002,42.244999,41.482498,41.630001,130672400
2/4/2019,41.852501,42.915001,41.82,42.8125,125982000
2/5/2019,43.215,43.77,43.087502,43.544998,144406400
2/6/2019,43.662498,43.892502,43.212502,43.560001,112958400
2/7/2019,43.099998,43.485001,42.584999,42.735001,126966800
2/8/2019,42.247501,42.665001,42.105,42.602501,95280000
2/11/2019,42.762501,42.802502,42.3125,42.357498,83973600
2/12/2019,42.525002,42.75,42.424999,42.7225,89134000
2/13/2019,42.8475,43.119999,42.48,42.544998,89960800
2/14/2019,42.427502,42.814999,42.345001,42.700001,87342800
2/15/2019,42.8125,42.924999,42.4375,42.605,98507200
2/19/2019,42.427502,42.860001,42.372501,42.732498,75891200
2/20/2019,42.797501,43.330002,42.747501,43.0075,104457600
2/21/2019,42.950001,43.092499,42.575001,42.764999,68998800
2/22/2019,42.895,43.25,42.845001,43.2425,75652800
2/25/2019,43.540001,43.967499,43.487499,43.557499,87493600
2/26/2019,43.427502,43.825001,43.2925,43.5825,68280800
2/27/2019,43.302502,43.75,43.182499,43.717499,111341600
2/28/2019,43.580002,43.727501,43.23,43.287498,112861600
3/1/2019,43.57,43.787498,43.2225,43.7425,103544800
3/4/2019,43.922501,44.4375,43.4925,43.962502,109744800
3/5/2019,43.985001,44,43.634998,43.8825,78949600
3/6/2019,43.6675,43.872501,43.485001,43.630001,83241600
3/7/2019,43.467499,43.610001,43.005001,43.125,99185600
3/8/2019,42.580002,43.267502,42.375,43.227501,95997600
3/11/2019,43.872501,44.779999,43.837502,44.724998,128044000
3/12/2019,45,45.6675,44.842499,45.227501,129870400
3/13/2019,45.5625,45.825001,45.23,45.427502,124130000
3/14/2019,45.974998,46.025002,45.639999,45.932499,94318000
